epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.265,0.88166,1.89885,0.94829,0.59249,0.60098,0.60617,0.47327,0.73788,1.00146,0.88179,0.000414692,0.000414692,0.000414692
2,262.439,0.8182,0.9652,0.93063,0.76601,0.72581,0.757,0.58914,0.70909,0.6476,0.86609,0.000814898,0.000814898,0.000814898
3,391.728,0.79958,0.75308,0.92476,0.80775,0.73944,0.77268,0.5908,0.77304,0.66855,0.89826,0.0011986,0.0011986,0.0011986
4,518.956,0.77607,0.66439,0.92022,0.81679,0.71533,0.78054,0.59441,0.73796,0.60122,0.88862,0.00117575,0.00117575,0.00117575
5,645.08,0.74394,0.60568,0.90881,0.90325,0.78074,0.85645,0.64938,0.6699,0.61631,0.86004,0.001151,0.001151,0.001151
6,769.49,0.73338,0.56756,0.90693,0.89887,0.8068,0.86531,0.68654,0.63561,0.51347,0.85362,0.00112625,0.00112625,0.00112625
7,894.596,0.7103,0.54564,0.90127,0.88551,0.76053,0.83444,0.67296,0.62233,0.4745,0.84667,0.0011015,0.0011015,0.0011015
8,1019.18,0.70299,0.51619,0.89624,0.94899,0.79205,0.90168,0.72484,0.61142,0.44439,0.84457,0.00107675,0.00107675,0.00107675
9,1144.69,0.6763,0.49609,0.88814,0.9234,0.79823,0.88201,0.69978,0.60028,0.41929,0.83974,0.001052,0.001052,0.001052
10,1270.86,0.6787,0.48663,0.88829,0.88517,0.85091,0.89368,0.73123,0.58515,0.397,0.83687,0.00102725,0.00102725,0.00102725
11,1397.93,0.66191,0.47256,0.88424,0.90177,0.84599,0.91303,0.73612,0.58472,0.39342,0.83773,0.0010025,0.0010025,0.0010025
12,1522.58,0.64914,0.46161,0.88206,0.93044,0.88305,0.92925,0.76243,0.5755,0.37124,0.83113,0.00097775,0.00097775,0.00097775
13,1646.87,0.63787,0.44416,0.87846,0.90831,0.87979,0.93139,0.75823,0.58596,0.38205,0.83688,0.000953,0.000953,0.000953
14,1775.21,0.62922,0.43349,0.8759,0.91234,0.89089,0.92998,0.76944,0.55303,0.36398,0.82675,0.00092825,0.00092825,0.00092825
15,1901.63,0.62921,0.43282,0.8754,0.91441,0.89054,0.94568,0.76515,0.57904,0.3845,0.83304,0.0009035,0.0009035,0.0009035
16,2029.94,0.6213,0.42205,0.86956,0.94611,0.87559,0.93643,0.77368,0.54952,0.33844,0.82318,0.00087875,0.00087875,0.00087875
17,2154.66,0.61348,0.41377,0.8701,0.90996,0.88293,0.92929,0.77243,0.55489,0.34252,0.82782,0.000854,0.000854,0.000854
18,2281,0.60646,0.40913,0.8703,0.88915,0.90068,0.93178,0.77911,0.52843,0.33574,0.81854,0.00082925,0.00082925,0.00082925
19,2406.39,0.60787,0.41026,0.86768,0.91527,0.88161,0.94189,0.78802,0.53061,0.33175,0.81789,0.0008045,0.0008045,0.0008045
20,2532.26,0.5985,0.39546,0.8651,0.94349,0.90713,0.95599,0.79248,0.51943,0.32376,0.817,0.00077975,0.00077975,0.00077975
21,2658.23,0.58664,0.38779,0.86222,0.91853,0.90986,0.9544,0.79825,0.5184,0.32199,0.81707,0.000755,0.000755,0.000755
22,2785.61,0.59001,0.39086,0.86342,0.95615,0.89849,0.96115,0.80925,0.51535,0.30728,0.81537,0.00073025,0.00073025,0.00073025
23,2912.33,0.58298,0.38079,0.86207,0.93274,0.92497,0.96334,0.8084,0.50386,0.30602,0.81123,0.0007055,0.0007055,0.0007055
24,3038.66,0.57656,0.37641,0.85867,0.94458,0.91182,0.96003,0.80502,0.51001,0.31494,0.81248,0.00068075,0.00068075,0.00068075
25,3165.91,0.57436,0.36655,0.85771,0.93347,0.92266,0.96043,0.80632,0.51242,0.30536,0.8124,0.000656,0.000656,0.000656
26,3290.5,0.55722,0.36164,0.85398,0.9262,0.92452,0.95807,0.81677,0.49971,0.29403,0.81105,0.00063125,0.00063125,0.00063125
27,3415.55,0.56585,0.35999,0.85501,0.95177,0.92099,0.96705,0.81445,0.49714,0.29437,0.80946,0.0006065,0.0006065,0.0006065
28,3540.75,0.55228,0.35643,0.85243,0.95352,0.9134,0.96357,0.81601,0.49503,0.28847,0.80897,0.00058175,0.00058175,0.00058175
29,3667.7,0.55041,0.35171,0.85426,0.931,0.92542,0.95931,0.81802,0.48223,0.28238,0.80622,0.000557,0.000557,0.000557
30,3792.12,0.54978,0.34513,0.85002,0.93691,0.92844,0.9658,0.82295,0.4824,0.27799,0.80432,0.00053225,0.00053225,0.00053225
31,3920.2,0.54694,0.34324,0.84807,0.93792,0.93699,0.97297,0.82473,0.47981,0.27385,0.80444,0.0005075,0.0005075,0.0005075
32,4046.6,0.54773,0.34245,0.84986,0.96,0.94008,0.97128,0.82877,0.47549,0.27303,0.80226,0.00048275,0.00048275,0.00048275
33,4171.98,0.5362,0.33641,0.8501,0.95178,0.9346,0.96894,0.82844,0.47559,0.27392,0.8036,0.000458,0.000458,0.000458
34,4296.31,0.53277,0.33361,0.84624,0.96388,0.92195,0.97423,0.8307,0.47377,0.27009,0.80249,0.00043325,0.00043325,0.00043325
